ObjectId,MeetingType,MeetingDate,Voter,Resolution,Vote,Result
11,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,,Yes,CARRIED
12,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
13,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,Receive and file Capital Works Department Report CW-02-19 regarding the City of Burlington Asset Management Program,Yes,CARRIED
14,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,"Receive and file finance department report F-01-19 regarding expenses excluded from the budget to meet the requirements of Regulation 284/09 Municipal Act, 2001.",Yes,CARRIED
15,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,"Receive the proposed 2019 operating budget book; and
Receive the proposed 2019-2028 capital budget and forecast book; and
Direct staff to present the recommendations in Appendix A to the Committee of the Whole  Budget meeting of February 21, 2019 for review and approval, taking into consideration committee amendments.",Yes,CARRIED
16,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,,Yes,CARRIED
17,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,"Direct the City Clerk to review the current schedule of meetings and allocate time for a workshop to discuss the asset management and financing plan prior to the February 7, 2019 Committee of the Whole  Budget meeting.",Yes,CARRIED
18,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,"Direct the City Manager to review our current committee cycles to incorporate regular opportunities for the proactive and strategic consideration and discussion of government relations matters including existing and emerging developments at the Regional, Provincial and Federal level that affect the City of Burlington; and
Direct the City Manager to report back to the March 7, 2019 Committee of the Whole - Workshop meeting with a presentation/workshop session leading to a strategic action plan related to priority government relation issues and opportunities.",Yes,CARRIED
19,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,"Approve appointments to Burlingtons citizen advisory committees as outlined in Confidential Appendix A as amended of clerks department report CL-01-19 and following approval from Council, make the recommended names for appointments public; and

Appoint the following two members of Council to sit on the Development Charges Consultation Committee:

 Mayor Marianne Meed Ward
 Councillor Paul Sharman
Amend the terms of appointment for current and returning members of Burlington's Best Committee to end May 31, 2019.
Direct the City Clerk to explore partnerships with other recognition programs across the City in order to establish one event program that celebrates the recognition for volunteerism and report back to Council by Q3 of 2019.
Direct the City Clerk to amend the terms of reference for citizen committees to limit Council representative appointments to 2 terms (8 years) and implement a 2 year gap before re-appointment. ",Yes,CARRIED
20,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,"Whereas, the Government of Ontario has introduced Bill 66, an Act to restore Ontarios competitiveness by amending or repealing certain Acts; and
 
Whereas, Schedule 10 of the proposed legislation would have amended the Planning Act to allow municipalities to pass open-for-business planning by-laws; and
Whereas, the Bill would have allowed such by-laws to override important planning, water, agricultural and environmental protections contained in the Clean Water Act, 2006, the Greenbelt Act, 2005, the Places to Grow Act, 2005, and other provincial legislation; and
Whereas, no notice or public hearing would have been required prior to the passing of such a by-law nor were there to be any appeal rights thereafter; and
Whereas, the Greenbelt is an integral component of land use planning that complements the Growth Plan to encourage smart planning, the reduction of sprawl, protection of natural and hydrological features and agricultural lands; and
Whereas, Burlingtons land mass is 50% rural, and the Greenbelt protects 1.8 million acres of farmland, local food supplies, the headwaters of our rivers and important forests and wildlife habitat; and
Whereas, a permanent Greenbelt is an important part of the planning for sustainable communities; and
Whereas, Burlington presently has 509 acres (206 hectares) of vacant employment land supply within the urban boundary ready to be used for business, without the need to weaken the protections provided by the Greenbelt or effectively remove land from it; and
Whereas, protections like those included in the Clean Water Act are critical to the health of Burlington residents; and
Whereas, the government has said it will now remove Section 10 from Bill 66; and
Whereas, nevertheless, Burlington City Council wishes to declare our commitment to protecting the Greenbelt, opposing urban boundary expansion, and protecting access to clean water;
Therefore, be it resolved,
That Schedule 10 in Bill 66 does not represent how the City of Burlington and its residents want to do business; and
That the City of Burlington opposes provisions in Schedule 10 of Bill 66, that amend, repeal or override the Clean Water Act, 2006, the Greenbelt Act, 2005 and other important legislation in the public interest and applauds their removal from the Bill; and
That notwithstanding the announced changes to Bill 66, the City of Burlington will not exercise any powers granted to it in this or any future sections or schedules to pass such planning by-laws where they are contrary to the Citys Official Plan; and
That the approval of a Bill 66 by-law clearly requires that the integrity of the Greenbelt and source water protection be achieved; and
That this resolution be distributed to: the leaders of all parties represented in the Legislature; the Minister of Municipal Affairs and Housing; the Minister of the Environment, Conservation and Parks; all Greater Golden Horseshoe municipalities, Halton MPPs, Environmental Defense, the Association of Municipalities of Ontario, the Ontario Federation of Agriculture, and the Friends of the Greenbelt Foundation.",Yes,CARRIED
21,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,"Motion to amend the recommendation from clerk's department report CL-01-19 to add the following paragraphs.
Amend the terms of appointment for current and returning members of Burlington's Best Committee to end May 31, 2019; and
Direct the City Clerk to explore partnerships with other recognition programs across the City in order to establish one event program that celebrates the recognition for volunteerism and report back to Council by Q3 of 2019; and
Direct the City Clerk to amend the terms of reference for citizen committees to limit Council representative appointments to 2 terms (8 years) and implement a 2 year gap before re-appointment. ",Yes,CARRIED
22,Regular Meeting of Council,1/28/2019,Kelvin Galbraith,,Yes,CARRIED
23,Regular Meeting of Council,1/28/2019,Lisa Kearns,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
24,Regular Meeting of Council,1/28/2019,Lisa Kearns,Receive and file Capital Works Department Report CW-02-19 regarding the City of Burlington Asset Management Program,Yes,CARRIED
25,Regular Meeting of Council,1/28/2019,Lisa Kearns,"Receive and file finance department report F-01-19 regarding expenses excluded from the budget to meet the requirements of Regulation 284/09 Municipal Act, 2001.",Yes,CARRIED
26,Regular Meeting of Council,1/28/2019,Lisa Kearns,"Receive the proposed 2019 operating budget book; and
Receive the proposed 2019-2028 capital budget and forecast book; and
Direct staff to present the recommendations in Appendix A to the Committee of the Whole  Budget meeting of February 21, 2019 for review and approval, taking into consideration committee amendments.",Yes,CARRIED
27,Regular Meeting of Council,1/28/2019,Lisa Kearns,"Direct the City Clerk to review the current schedule of meetings and allocate time for a workshop to discuss the asset management and financing plan prior to the February 7, 2019 Committee of the Whole  Budget meeting.",Yes,CARRIED
28,Regular Meeting of Council,1/28/2019,Lisa Kearns,"Direct the City Manager to review our current committee cycles to incorporate regular opportunities for the proactive and strategic consideration and discussion of government relations matters including existing and emerging developments at the Regional, Provincial and Federal level that affect the City of Burlington; and
Direct the City Manager to report back to the March 7, 2019 Committee of the Whole - Workshop meeting with a presentation/workshop session leading to a strategic action plan related to priority government relation issues and opportunities.",Yes,CARRIED
29,Regular Meeting of Council,1/28/2019,Lisa Kearns,"Approve appointments to Burlingtons citizen advisory committees as outlined in Confidential Appendix A as amended of clerks department report CL-01-19 and following approval from Council, make the recommended names for appointments public; and

Appoint the following two members of Council to sit on the Development Charges Consultation Committee:

 Mayor Marianne Meed Ward
 Councillor Paul Sharman
Amend the terms of appointment for current and returning members of Burlington's Best Committee to end May 31, 2019.
Direct the City Clerk to explore partnerships with other recognition programs across the City in order to establish one event program that celebrates the recognition for volunteerism and report back to Council by Q3 of 2019.
Direct the City Clerk to amend the terms of reference for citizen committees to limit Council representative appointments to 2 terms (8 years) and implement a 2 year gap before re-appointment. ",Yes,CARRIED
30,Regular Meeting of Council,1/28/2019,Lisa Kearns,"Whereas, the Government of Ontario has introduced Bill 66, an Act to restore Ontarios competitiveness by amending or repealing certain Acts; and
 
Whereas, Schedule 10 of the proposed legislation would have amended the Planning Act to allow municipalities to pass open-for-business planning by-laws; and
Whereas, the Bill would have allowed such by-laws to override important planning, water, agricultural and environmental protections contained in the Clean Water Act, 2006, the Greenbelt Act, 2005, the Places to Grow Act, 2005, and other provincial legislation; and
Whereas, no notice or public hearing would have been required prior to the passing of such a by-law nor were there to be any appeal rights thereafter; and
Whereas, the Greenbelt is an integral component of land use planning that complements the Growth Plan to encourage smart planning, the reduction of sprawl, protection of natural and hydrological features and agricultural lands; and
Whereas, Burlingtons land mass is 50% rural, and the Greenbelt protects 1.8 million acres of farmland, local food supplies, the headwaters of our rivers and important forests and wildlife habitat; and
Whereas, a permanent Greenbelt is an important part of the planning for sustainable communities; and
Whereas, Burlington presently has 509 acres (206 hectares) of vacant employment land supply within the urban boundary ready to be used for business, without the need to weaken the protections provided by the Greenbelt or effectively remove land from it; and
Whereas, protections like those included in the Clean Water Act are critical to the health of Burlington residents; and
Whereas, the government has said it will now remove Section 10 from Bill 66; and
Whereas, nevertheless, Burlington City Council wishes to declare our commitment to protecting the Greenbelt, opposing urban boundary expansion, and protecting access to clean water;
Therefore, be it resolved,
That Schedule 10 in Bill 66 does not represent how the City of Burlington and its residents want to do business; and
That the City of Burlington opposes provisions in Schedule 10 of Bill 66, that amend, repeal or override the Clean Water Act, 2006, the Greenbelt Act, 2005 and other important legislation in the public interest and applauds their removal from the Bill; and
That notwithstanding the announced changes to Bill 66, the City of Burlington will not exercise any powers granted to it in this or any future sections or schedules to pass such planning by-laws where they are contrary to the Citys Official Plan; and
That the approval of a Bill 66 by-law clearly requires that the integrity of the Greenbelt and source water protection be achieved; and
That this resolution be distributed to: the leaders of all parties represented in the Legislature; the Minister of Municipal Affairs and Housing; the Minister of the Environment, Conservation and Parks; all Greater Golden Horseshoe municipalities, Halton MPPs, Environmental Defense, the Association of Municipalities of Ontario, the Ontario Federation of Agriculture, and the Friends of the Greenbelt Foundation.",Yes,CARRIED
31,Regular Meeting of Council,1/28/2019,Lisa Kearns,"Motion to amend the recommendation from clerk's department report CL-01-19 to add the following paragraphs.
Amend the terms of appointment for current and returning members of Burlington's Best Committee to end May 31, 2019; and
Direct the City Clerk to explore partnerships with other recognition programs across the City in order to establish one event program that celebrates the recognition for volunteerism and report back to Council by Q3 of 2019; and
Direct the City Clerk to amend the terms of reference for citizen committees to limit Council representative appointments to 2 terms (8 years) and implement a 2 year gap before re-appointment. ",Yes,CARRIED
32,Regular Meeting of Council,1/28/2019,Lisa Kearns,,Yes,CARRIED
33,Regular Meeting of Council,1/28/2019,Lisa Kearns,,Yes,CARRIED
34,Regular Meeting of Council,1/28/2019,Rory Nisan,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
35,Regular Meeting of Council,1/28/2019,Rory Nisan,Receive and file Capital Works Department Report CW-02-19 regarding the City of Burlington Asset Management Program,Yes,CARRIED
36,Regular Meeting of Council,1/28/2019,Rory Nisan,"Receive and file finance department report F-01-19 regarding expenses excluded from the budget to meet the requirements of Regulation 284/09 Municipal Act, 2001.",Yes,CARRIED
37,Regular Meeting of Council,1/28/2019,Rory Nisan,"Receive the proposed 2019 operating budget book; and
Receive the proposed 2019-2028 capital budget and forecast book; and
Direct staff to present the recommendations in Appendix A to the Committee of the Whole  Budget meeting of February 21, 2019 for review and approval, taking into consideration committee amendments.",Yes,CARRIED
38,Regular Meeting of Council,1/28/2019,Rory Nisan,"Direct the City Clerk to review the current schedule of meetings and allocate time for a workshop to discuss the asset management and financing plan prior to the February 7, 2019 Committee of the Whole  Budget meeting.",Yes,CARRIED
39,Regular Meeting of Council,1/28/2019,Rory Nisan,"Direct the City Manager to review our current committee cycles to incorporate regular opportunities for the proactive and strategic consideration and discussion of government relations matters including existing and emerging developments at the Regional, Provincial and Federal level that affect the City of Burlington; and
Direct the City Manager to report back to the March 7, 2019 Committee of the Whole - Workshop meeting with a presentation/workshop session leading to a strategic action plan related to priority government relation issues and opportunities.",Yes,CARRIED
40,Regular Meeting of Council,1/28/2019,Rory Nisan,"Approve appointments to Burlingtons citizen advisory committees as outlined in Confidential Appendix A as amended of clerks department report CL-01-19 and following approval from Council, make the recommended names for appointments public; and

Appoint the following two members of Council to sit on the Development Charges Consultation Committee:

 Mayor Marianne Meed Ward
 Councillor Paul Sharman
Amend the terms of appointment for current and returning members of Burlington's Best Committee to end May 31, 2019.
Direct the City Clerk to explore partnerships with other recognition programs across the City in order to establish one event program that celebrates the recognition for volunteerism and report back to Council by Q3 of 2019.
Direct the City Clerk to amend the terms of reference for citizen committees to limit Council representative appointments to 2 terms (8 years) and implement a 2 year gap before re-appointment. ",Yes,CARRIED
41,Regular Meeting of Council,1/28/2019,Rory Nisan,"Whereas, the Government of Ontario has introduced Bill 66, an Act to restore Ontarios competitiveness by amending or repealing certain Acts; and
 
Whereas, Schedule 10 of the proposed legislation would have amended the Planning Act to allow municipalities to pass open-for-business planning by-laws; and
Whereas, the Bill would have allowed such by-laws to override important planning, water, agricultural and environmental protections contained in the Clean Water Act, 2006, the Greenbelt Act, 2005, the Places to Grow Act, 2005, and other provincial legislation; and
Whereas, no notice or public hearing would have been required prior to the passing of such a by-law nor were there to be any appeal rights thereafter; and
Whereas, the Greenbelt is an integral component of land use planning that complements the Growth Plan to encourage smart planning, the reduction of sprawl, protection of natural and hydrological features and agricultural lands; and
Whereas, Burlingtons land mass is 50% rural, and the Greenbelt protects 1.8 million acres of farmland, local food supplies, the headwaters of our rivers and important forests and wildlife habitat; and
Whereas, a permanent Greenbelt is an important part of the planning for sustainable communities; and
Whereas, Burlington presently has 509 acres (206 hectares) of vacant employment land supply within the urban boundary ready to be used for business, without the need to weaken the protections provided by the Greenbelt or effectively remove land from it; and
Whereas, protections like those included in the Clean Water Act are critical to the health of Burlington residents; and
Whereas, the government has said it will now remove Section 10 from Bill 66; and
Whereas, nevertheless, Burlington City Council wishes to declare our commitment to protecting the Greenbelt, opposing urban boundary expansion, and protecting access to clean water;
Therefore, be it resolved,
That Schedule 10 in Bill 66 does not represent how the City of Burlington and its residents want to do business; and
That the City of Burlington opposes provisions in Schedule 10 of Bill 66, that amend, repeal or override the Clean Water Act, 2006, the Greenbelt Act, 2005 and other important legislation in the public interest and applauds their removal from the Bill; and
That notwithstanding the announced changes to Bill 66, the City of Burlington will not exercise any powers granted to it in this or any future sections or schedules to pass such planning by-laws where they are contrary to the Citys Official Plan; and
That the approval of a Bill 66 by-law clearly requires that the integrity of the Greenbelt and source water protection be achieved; and
That this resolution be distributed to: the leaders of all parties represented in the Legislature; the Minister of Municipal Affairs and Housing; the Minister of the Environment, Conservation and Parks; all Greater Golden Horseshoe municipalities, Halton MPPs, Environmental Defense, the Association of Municipalities of Ontario, the Ontario Federation of Agriculture, and the Friends of the Greenbelt Foundation.",Yes,CARRIED
42,Regular Meeting of Council,1/28/2019,Rory Nisan,"Motion to amend the recommendation from clerk's department report CL-01-19 to add the following paragraphs.
Amend the terms of appointment for current and returning members of Burlington's Best Committee to end May 31, 2019; and
Direct the City Clerk to explore partnerships with other recognition programs across the City in order to establish one event program that celebrates the recognition for volunteerism and report back to Council by Q3 of 2019; and
Direct the City Clerk to amend the terms of reference for citizen committees to limit Council representative appointments to 2 terms (8 years) and implement a 2 year gap before re-appointment. ",Yes,CARRIED
43,Regular Meeting of Council,1/28/2019,Rory Nisan,,Yes,CARRIED
44,Regular Meeting of Council,1/28/2019,Rory Nisan,,Yes,CARRIED
45,Regular Meeting of Council,1/28/2019,Shawna Stolte,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
46,Regular Meeting of Council,1/28/2019,Shawna Stolte,Receive and file Capital Works Department Report CW-02-19 regarding the City of Burlington Asset Management Program,Yes,CARRIED
47,Regular Meeting of Council,1/28/2019,Shawna Stolte,"Receive and file finance department report F-01-19 regarding expenses excluded from the budget to meet the requirements of Regulation 284/09 Municipal Act, 2001.",Yes,CARRIED
48,Regular Meeting of Council,1/28/2019,Shawna Stolte,"Receive the proposed 2019 operating budget book; and
Receive the proposed 2019-2028 capital budget and forecast book; and
Direct staff to present the recommendations in Appendix A to the Committee of the Whole  Budget meeting of February 21, 2019 for review and approval, taking into consideration committee amendments.",Yes,CARRIED
49,Regular Meeting of Council,1/28/2019,Shawna Stolte,"Direct the City Clerk to review the current schedule of meetings and allocate time for a workshop to discuss the asset management and financing plan prior to the February 7, 2019 Committee of the Whole  Budget meeting.",Yes,CARRIED
50,Regular Meeting of Council,1/28/2019,Shawna Stolte,"Direct the City Manager to review our current committee cycles to incorporate regular opportunities for the proactive and strategic consideration and discussion of government relations matters including existing and emerging developments at the Regional, Provincial and Federal level that affect the City of Burlington; and
Direct the City Manager to report back to the March 7, 2019 Committee of the Whole - Workshop meeting with a presentation/workshop session leading to a strategic action plan related to priority government relation issues and opportunities.",Yes,CARRIED
51,Regular Meeting of Council,3/25/2019,Lisa Kearns,"Direct the Director of Transportation Services to complete a detailed assessment of intersections and report back with a business case for the implementation of Red Light Cameras including recommended intersections, program costs and an implementation plan by Q2 of 2020; and
Direct the Director of Transportation Services to continue to participate in the Ontario Traffic Council Automated Speed Enforcement (ASE) working group and report back as program details are available.",Yes,CARRIED
52,Regular Meeting of Council,3/25/2019,Lisa Kearns,Direct the Director of Parks and Recreation and the Executive Director of Capital Works to report back to council by Q4 2019 with proposed changes to the leash free implementation criteria through public engagement.,,CARRIED
53,Regular Meeting of Council,3/25/2019,Lisa Kearns,Direct the Director of Transportation Services to report back by September 2019 with an update on the ongoing and planned traffic management strategies aimed at improving traffic congestion on Burlington's road network.,,CARRIED
54,Regular Meeting of Council,3/25/2019,Lisa Kearns,Direct the Director of Transportation Services to report back by Q3 2019 on recommended road safety improvements for intersections along James Street between Brant Street and Martha Street and on Brant Street from Caroline Street to Lakeshore Road.,,CARRIED
55,Regular Meeting of Council,3/25/2019,Lisa Kearns,"Direct the Executive Director of Capital Works to report to council with an update on road condition including PQI, life cycle position, age, status of related underground rehabilitation needs, timing and recommended proposed treatment strategies for the 2020 budget.",,CARRIED
56,Regular Meeting of Council,3/25/2019,Lisa Kearns,Approve the 2019  2023 Multi-Year Accessibility Plan attached as Appendix A to capital works department report CW-01-19.,Yes,CARRIED
57,Regular Meeting of Council,3/25/2019,Lisa Kearns,"Direct the Interim City Manager to implement Option A regarding the future operation of the Marina at LaSalle Park as outlined in report CM-01-19; and
Direct the Executive Director of Capital Works to proceed with the Request for Proposal for the acquisition of a new floating wave break and report back on the results of the Request for Proposal (Option A); and
Direct the Director of Parks and Recreation to continue negotiations with the LaSalle Park Marina Association for a long-term license agreement for the operation of the Marina at LaSalle Park and report back on the results (Option A); and
Direct the Interim City Manager to report back on alternative governance and operating models and the process for continuance of a community-based public Marina at LaSalle Park and report back to Committee of the Whole on or before July 8, 2019; and
Direct the Director of Parks and Recreation to explore alternative funding options for the Marina at LaSalle Park.
 ",Yes,CARRIED
58,Regular Meeting of Council,3/25/2019,Lisa Kearns,Direct the Director of City Building to investigate efficiencies of consolidating bylaw services and report back to council with a proposal for the 2020 budget.,,CARRIED
59,Regular Meeting of Council,3/25/2019,Lisa Kearns,Direct the Director of Transit to consider re-organization of Handi-van operations to provide increased service to older adults.,,CARRIED
60,Regular Meeting of Council,3/25/2019,Lisa Kearns,"Direct the Director of Transportation to review and report back to council as part of the integrated transportation plan an assessment of adding a bike share program, and provide costing for the 2020 budget.",,CARRIED
61,Regular Meeting of Council,3/25/2019,Lisa Kearns,"Direct the Director of Finance to schedule a committee workshop focusing on how to retool, rethink and reinvent the capital and operating budget process, management and delivery.",,CARRIED
62,Regular Meeting of Council,3/25/2019,Lisa Kearns,Direct the City Manager to investigate alternate space locations for the mobility hubs staff team.,,CARRIED
63,Regular Meeting of Council,3/25/2019,Lisa Kearns,Direct the Director of Parks and Recreation to conduct a workshop for council that provides an overview of current practices and opportunities in recreation services with a focus on youth and people with special needs and report back with opportunities for the 2020 budget.,,CARRIED
64,Regular Meeting of Council,3/25/2019,Rory Nisan,,Yes,CARRIED
65,Regular Meeting of Council,3/25/2019,Rory Nisan,"Refer report PB-15-19 from the Planning and Development meeting of March 5, 2019 regarding proposed official plan and zoning by-law amendments for 1335-1355 Plains Road East to the April 23, 2019 meeting of Council.",Yes,CARRIED
66,Regular Meeting of Council,3/25/2019,Rory Nisan,"Approve the 2019 operating budget including any budget amendments approved by the Committee of the Whole - Budget to be applied against the proposed net tax levy amount of $165,960,609; and
Direct the City Manager to report back by May 31, 2019 with recommendations for addressing the following corporate priorities pertaining the services provided by the City Managers Office:

Enhanced focus on corporate strategic planning, management and strategy execution including ongoing implementation and reporting on City Councils 4 year work plan.
Establishment of Corporate Innovation and Performance Improvement function including but not limited to an ongoing continuous improvement program (e.g. Lean Six Sigma)
Development and Implementation of a City Manager led multi-year City Service Review Process focused on identifying and recommending for Council consideration in conjunction with the annual budget process, proposed changes to City services resulting in sustainable operational efficiencies and annual net budget savings.
Establishment of an Organizational Transformation Function focused on strategic oversight and execution of major strategic initiatives and projects including citizen-centred digital service delivery.
Development and implementation of regular corporate performance reporting on measurable outcomes related to major strategic initiatives and projects and ongoing service review efficiencies including cumulative net budget savings; and

 
Direct the City Manager to undertake with the Director of Finance an internal review and realignment of 2019 proposed budget resources in the City Managers Office to accommodate the above noted priorities while incorporating a net budget reduction of $235,000; and
Direct the City Manager to report back on multi-year budgeting; and
Direct the Director of Roads, Parks and Forestry to bring forward a business case for 2020 budget with options for future tree management; and
Direct the Director of Finance to bring forward an amendment to the Planning Fee Stabilization Reserve Fund by-law t permit use of funds for surge in workload; and
Approve $600,000, (subject to future confirmation), from the Policy Initiatives Reserve Fund for Official Plan related work such as a housing strategy, subject to the Director of City Building reporting back with a progress update on the Official Plan work plan; and
Direct the Director of Transit to monitor progress of the pilot project with a working group including council representation, citizen representation and transit staff and report back to the Committee of the Whole; and
Direct the Director of Transit to work with the Halton District School Board, Halton Catholic District School Board, Conseil Scolaire Viamonde and  Conseil scolaire catholique Mon Avenir on a potential transit fare strategy to increase ridership of students while mitigating associated risks; and
Direct the Director of Transit to work with Halton Region to increase the number of people eligible to obtain Split passes and seek 100% funding towards Split passes from the Region.",Yes,CARRIED
67,Regular Meeting of Council,3/25/2019,Rory Nisan,"Approve the design guidelines for mixed-use and residential mid-rise buildings (Mid-Rise Building Guidelines), included as Appendix A as amended to department of city building report PB-10-19.",Yes,CARRIED
