ObjectId,MeetingType,MeetingDate,Voter,Resolution,Vote,Result
19,Special Meeting of Council,1/30/2020,Angelo Bentivegna,"Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
Receive the Interim Control By-law Land Use Study report prepared by Dillon Consulting as amended and attached as Appendix B to supplementary staff memo dated January 30, 2020  to community planning department report  PL-01-20; and
Approve the proposed Official Plan Amendment as amended attached in Appendix D to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Approve the proposed Zoning By-law Amendment as amended attached in Appendix E to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Direct the Executive Director of Community Planning, Regulation and Mobility to consider the following modifications to the proposed Official Plan Amendment:
 For clarity, any policies that reference growth in the MTSAs should also include reference to the overall MTSA typology which differentiates the characteristics between downtown and the GO station MTSAs
 Policies that address urban design and public realm should identify street trees, street furniture and public art as key elements of the public realm;
 Opportunities to strengthen compatibility policies and the built form transitions to surrounding areas;
 Policies that identify innovative sustainable energy, water, landscape and waste management practices should address mitigating the impacts of climate change, sustainable development practices and green infrastructure.",Yes,CARRIED
20,Special Meeting of Council,1/30/2020,Angelo Bentivegna,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
21,Special Meeting of Council,1/30/2020,Angelo Bentivegna,"Amend Interim Control By-law Land Use Study (PL-01-20) recommendation by adding the following paragraph at the beginning of the recommendation
Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
And remove the following paragraph in its entirety from the recommendation:
Repeal the Interim Control By-law from the subject lands upon expiry of the appeal period for the proposed Official Plan and Zoning By-law amendments, provided no appeals are filed; and",Yes,CARRIED
22,Special Meeting of Council,3/9/2020,Marianne Meed Ward,"Whereas the City of Burlington opted-in to allow the legal sale of cannabis in 2019 and recognizes authorized retailers as a legitimate part of our business community; and
Whereas the City of Burlington has no objection to the incremental business opportunities being explored by the government of Ontario announced on December 12, 2019 including the move to an open market for retail cannabis sales; and
Whereas on February 10th, 2020, the government of Ontario announced they were launching consultations to provide consumers more choice and convenience on cannabis while giving the private sector enhanced ability to compete against and combat the criminal market; and
Whereas the government of Ontario is asking Ontarians to share their feedback before March 10th, 2020 as they explore certain expanded cannabis-related business opportunities to help inform possible next steps; and
Whereas the online consultation asks the public, businesses, health and other stakeholders to comment on potential new cannabis opportunities, including consumption venues such as cannabis lounges where people could buy and consume cannabis and special occasion permits to allow purchase and use at events such as outdoor festivals and concerts; and
Whereas smoking and vaping of any substances, including cannabis, in Burlington are prohibited in indoor public places and other designated areas under the Smoke-Free Ontario Act of 2017; and
Whereas the City of Burlington conducted a public survey between February 14th and February 23rd seeking input on the future of cannabis sale and use in consumption venues such as cannabis lounges and at public events such as outdoor festivals and concerts and found that, of 969 respondents:

50% were in favour of allowing the sale and consumption of cannabis in places like cannabis lounges and cafés (5% undecided, 45% not in favour)
57% were not in favour of allowing the sale and consumption of cannabis at festivals and events such as music or food festivals, etc. (3% undecided, 40% in favour)
67% felt that municipalities should be able to decide/govern the sale and consumption of cannabis in cafés and lounges (11% undecided, 23% not in favour)
72% felt that municipalities should be able to decide/govern the sale and consumption of cannabis at special events (7% undecided, 21% not in favour); and

Whereas we do not yet have an understanding of whether any restrictions would be placed on the sale and consumption of additional regulated substances, such as alcohol, at the same locations as cannabis products; and
Whereas we do not yet have enough information on the impacts of consuming cannabis products in public places and whether additional safety protocols must be in place such as setting limits to avoid over consumption at those establishments; and
Now therefore be it resolved that:
The Council of the City of Burlington is not yet open to the sale and consumption of edible cannabis products in additional locations such as cafes and lounges until we have a better understanding of the impact of consumption in public places nor the impact of their consumption in combination with other regulated substances such as alcohol; and
That the City of Burlington does not support the sale or consumption of any cannabis products in public spaces or at public events such as outdoor festivals and concerts; and
That we ask the Government of Ontario to allow municipalities to make their own local decisions on these matters and permissions; and
That we ask the Government of Ontario to ensure that no additional permissions on the use of cannabis would be granted in such a manner as to contravene the Smoke-Free Ontario Act of 2017 or any Halton Region by-laws that exist at the time of their decision; and 
That we ask the Government of Ontario to formulate responsible consumption regulations and guidelines to reduce risk of impairment and risk of adverse health impacts.",Yes,CARRIED
23,Special Meeting of Council,3/9/2020,Marianne Meed Ward,"Amend the main motion by adding the following paragraphs:
Whereas we do not yet have an understanding of whether any restrictions would be placed on the sale and consumption of additional regulated substances, such as alcohol, at the same locations as cannabis products; and
Whereas we do not yet have enough information on the impacts of consuming cannabis products in public places and whether additional safety protocols must be in place such as setting limits to avoid over consumption at those establishments;
Replace the first paragraph in the resolved section with the paragraph below:
The Council of the City of Burlington is not yet open to the sale and consumption of edible cannabis products in additional locations such as cafes and lounges until we have a better understanding of the impact of consumption in public places nor the impact of their consumption in combination with other regulated substances such as alcohol.",Yes,CARRIED
24,Special Meeting of Council,3/9/2020,Marianne Meed Ward,"Amend the main motion by adding the following paragraph to the end of the motion:
That we ask the Government of Ontario to formulate responsible consumption regulations and guidelines to reduce risk of impairment and risk of adverse health impacts.",Yes,CARRIED
25,Special Meeting of Council,3/9/2020,Marianne Meed Ward,Suspend the rules of procedure to allow members an additional five minutes to speak in accordance with procedure by-law 04-2020 s. 40.12.,Yes,LOST
26,Special Meeting of Council,3/9/2020,Kelvin Galbraith,"Whereas the City of Burlington opted-in to allow the legal sale of cannabis in 2019 and recognizes authorized retailers as a legitimate part of our business community; and
Whereas the City of Burlington has no objection to the incremental business opportunities being explored by the government of Ontario announced on December 12, 2019 including the move to an open market for retail cannabis sales; and
Whereas on February 10th, 2020, the government of Ontario announced they were launching consultations to provide consumers more choice and convenience on cannabis while giving the private sector enhanced ability to compete against and combat the criminal market; and
Whereas the government of Ontario is asking Ontarians to share their feedback before March 10th, 2020 as they explore certain expanded cannabis-related business opportunities to help inform possible next steps; and
Whereas the online consultation asks the public, businesses, health and other stakeholders to comment on potential new cannabis opportunities, including consumption venues such as cannabis lounges where people could buy and consume cannabis and special occasion permits to allow purchase and use at events such as outdoor festivals and concerts; and
Whereas smoking and vaping of any substances, including cannabis, in Burlington are prohibited in indoor public places and other designated areas under the Smoke-Free Ontario Act of 2017; and
Whereas the City of Burlington conducted a public survey between February 14th and February 23rd seeking input on the future of cannabis sale and use in consumption venues such as cannabis lounges and at public events such as outdoor festivals and concerts and found that, of 969 respondents:

50% were in favour of allowing the sale and consumption of cannabis in places like cannabis lounges and cafés (5% undecided, 45% not in favour)
57% were not in favour of allowing the sale and consumption of cannabis at festivals and events such as music or food festivals, etc. (3% undecided, 40% in favour)
67% felt that municipalities should be able to decide/govern the sale and consumption of cannabis in cafés and lounges (11% undecided, 23% not in favour)
72% felt that municipalities should be able to decide/govern the sale and consumption of cannabis at special events (7% undecided, 21% not in favour); and

Whereas we do not yet have an understanding of whether any restrictions would be placed on the sale and consumption of additional regulated substances, such as alcohol, at the same locations as cannabis products; and
Whereas we do not yet have enough information on the impacts of consuming cannabis products in public places and whether additional safety protocols must be in place such as setting limits to avoid over consumption at those establishments; and
Now therefore be it resolved that:
The Council of the City of Burlington is not yet open to the sale and consumption of edible cannabis products in additional locations such as cafes and lounges until we have a better understanding of the impact of consumption in public places nor the impact of their consumption in combination with other regulated substances such as alcohol; and
That the City of Burlington does not support the sale or consumption of any cannabis products in public spaces or at public events such as outdoor festivals and concerts; and
That we ask the Government of Ontario to allow municipalities to make their own local decisions on these matters and permissions; and
That we ask the Government of Ontario to ensure that no additional permissions on the use of cannabis would be granted in such a manner as to contravene the Smoke-Free Ontario Act of 2017 or any Halton Region by-laws that exist at the time of their decision; and 
That we ask the Government of Ontario to formulate responsible consumption regulations and guidelines to reduce risk of impairment and risk of adverse health impacts.",,CARRIED
27,Special Meeting of Council,3/9/2020,Kelvin Galbraith,"Amend the main motion by adding the following paragraphs:
Whereas we do not yet have an understanding of whether any restrictions would be placed on the sale and consumption of additional regulated substances, such as alcohol, at the same locations as cannabis products; and
Whereas we do not yet have enough information on the impacts of consuming cannabis products in public places and whether additional safety protocols must be in place such as setting limits to avoid over consumption at those establishments;
Replace the first paragraph in the resolved section with the paragraph below:
The Council of the City of Burlington is not yet open to the sale and consumption of edible cannabis products in additional locations such as cafes and lounges until we have a better understanding of the impact of consumption in public places nor the impact of their consumption in combination with other regulated substances such as alcohol.",,CARRIED
28,Special Meeting of Council,3/9/2020,Kelvin Galbraith,"Amend the main motion by adding the following paragraph to the end of the motion:
That we ask the Government of Ontario to formulate responsible consumption regulations and guidelines to reduce risk of impairment and risk of adverse health impacts.",,CARRIED
29,Special Meeting of Council,3/9/2020,Kelvin Galbraith,Suspend the rules of procedure to allow members an additional five minutes to speak in accordance with procedure by-law 04-2020 s. 40.12.,,LOST
30,Special Meeting of Council,3/9/2020,Lisa Kearns,"Whereas the City of Burlington opted-in to allow the legal sale of cannabis in 2019 and recognizes authorized retailers as a legitimate part of our business community; and
Whereas the City of Burlington has no objection to the incremental business opportunities being explored by the government of Ontario announced on December 12, 2019 including the move to an open market for retail cannabis sales; and
Whereas on February 10th, 2020, the government of Ontario announced they were launching consultations to provide consumers more choice and convenience on cannabis while giving the private sector enhanced ability to compete against and combat the criminal market; and
Whereas the government of Ontario is asking Ontarians to share their feedback before March 10th, 2020 as they explore certain expanded cannabis-related business opportunities to help inform possible next steps; and
Whereas the online consultation asks the public, businesses, health and other stakeholders to comment on potential new cannabis opportunities, including consumption venues such as cannabis lounges where people could buy and consume cannabis and special occasion permits to allow purchase and use at events such as outdoor festivals and concerts; and
Whereas smoking and vaping of any substances, including cannabis, in Burlington are prohibited in indoor public places and other designated areas under the Smoke-Free Ontario Act of 2017; and
Whereas the City of Burlington conducted a public survey between February 14th and February 23rd seeking input on the future of cannabis sale and use in consumption venues such as cannabis lounges and at public events such as outdoor festivals and concerts and found that, of 969 respondents:

50% were in favour of allowing the sale and consumption of cannabis in places like cannabis lounges and cafés (5% undecided, 45% not in favour)
57% were not in favour of allowing the sale and consumption of cannabis at festivals and events such as music or food festivals, etc. (3% undecided, 40% in favour)
67% felt that municipalities should be able to decide/govern the sale and consumption of cannabis in cafés and lounges (11% undecided, 23% not in favour)
72% felt that municipalities should be able to decide/govern the sale and consumption of cannabis at special events (7% undecided, 21% not in favour); and

Whereas we do not yet have an understanding of whether any restrictions would be placed on the sale and consumption of additional regulated substances, such as alcohol, at the same locations as cannabis products; and
Whereas we do not yet have enough information on the impacts of consuming cannabis products in public places and whether additional safety protocols must be in place such as setting limits to avoid over consumption at those establishments; and
Now therefore be it resolved that:
The Council of the City of Burlington is not yet open to the sale and consumption of edible cannabis products in additional locations such as cafes and lounges until we have a better understanding of the impact of consumption in public places nor the impact of their consumption in combination with other regulated substances such as alcohol; and
That the City of Burlington does not support the sale or consumption of any cannabis products in public spaces or at public events such as outdoor festivals and concerts; and
That we ask the Government of Ontario to allow municipalities to make their own local decisions on these matters and permissions; and
That we ask the Government of Ontario to ensure that no additional permissions on the use of cannabis would be granted in such a manner as to contravene the Smoke-Free Ontario Act of 2017 or any Halton Region by-laws that exist at the time of their decision; and 
That we ask the Government of Ontario to formulate responsible consumption regulations and guidelines to reduce risk of impairment and risk of adverse health impacts.",Yes,CARRIED
31,Special Meeting of Council,3/9/2020,Lisa Kearns,"Amend the main motion by adding the following paragraphs:
Whereas we do not yet have an understanding of whether any restrictions would be placed on the sale and consumption of additional regulated substances, such as alcohol, at the same locations as cannabis products; and
Whereas we do not yet have enough information on the impacts of consuming cannabis products in public places and whether additional safety protocols must be in place such as setting limits to avoid over consumption at those establishments;
Replace the first paragraph in the resolved section with the paragraph below:
The Council of the City of Burlington is not yet open to the sale and consumption of edible cannabis products in additional locations such as cafes and lounges until we have a better understanding of the impact of consumption in public places nor the impact of their consumption in combination with other regulated substances such as alcohol.",Yes,CARRIED
32,Special Meeting of Council,3/9/2020,Lisa Kearns,"Amend the main motion by adding the following paragraph to the end of the motion:
That we ask the Government of Ontario to formulate responsible consumption regulations and guidelines to reduce risk of impairment and risk of adverse health impacts.",Yes,CARRIED
33,Special Meeting of Council,3/9/2020,Lisa Kearns,Suspend the rules of procedure to allow members an additional five minutes to speak in accordance with procedure by-law 04-2020 s. 40.12.,No,LOST
34,Special Meeting of Council,3/9/2020,Rory Nisan,"Whereas the City of Burlington opted-in to allow the legal sale of cannabis in 2019 and recognizes authorized retailers as a legitimate part of our business community; and
Whereas the City of Burlington has no objection to the incremental business opportunities being explored by the government of Ontario announced on December 12, 2019 including the move to an open market for retail cannabis sales; and
Whereas on February 10th, 2020, the government of Ontario announced they were launching consultations to provide consumers more choice and convenience on cannabis while giving the private sector enhanced ability to compete against and combat the criminal market; and
Whereas the government of Ontario is asking Ontarians to share their feedback before March 10th, 2020 as they explore certain expanded cannabis-related business opportunities to help inform possible next steps; and
Whereas the online consultation asks the public, businesses, health and other stakeholders to comment on potential new cannabis opportunities, including consumption venues such as cannabis lounges where people could buy and consume cannabis and special occasion permits to allow purchase and use at events such as outdoor festivals and concerts; and
Whereas smoking and vaping of any substances, including cannabis, in Burlington are prohibited in indoor public places and other designated areas under the Smoke-Free Ontario Act of 2017; and
Whereas the City of Burlington conducted a public survey between February 14th and February 23rd seeking input on the future of cannabis sale and use in consumption venues such as cannabis lounges and at public events such as outdoor festivals and concerts and found that, of 969 respondents:

50% were in favour of allowing the sale and consumption of cannabis in places like cannabis lounges and cafés (5% undecided, 45% not in favour)
57% were not in favour of allowing the sale and consumption of cannabis at festivals and events such as music or food festivals, etc. (3% undecided, 40% in favour)
67% felt that municipalities should be able to decide/govern the sale and consumption of cannabis in cafés and lounges (11% undecided, 23% not in favour)
72% felt that municipalities should be able to decide/govern the sale and consumption of cannabis at special events (7% undecided, 21% not in favour); and

Whereas we do not yet have an understanding of whether any restrictions would be placed on the sale and consumption of additional regulated substances, such as alcohol, at the same locations as cannabis products; and
Whereas we do not yet have enough information on the impacts of consuming cannabis products in public places and whether additional safety protocols must be in place such as setting limits to avoid over consumption at those establishments; and
Now therefore be it resolved that:
The Council of the City of Burlington is not yet open to the sale and consumption of edible cannabis products in additional locations such as cafes and lounges until we have a better understanding of the impact of consumption in public places nor the impact of their consumption in combination with other regulated substances such as alcohol; and
That the City of Burlington does not support the sale or consumption of any cannabis products in public spaces or at public events such as outdoor festivals and concerts; and
That we ask the Government of Ontario to allow municipalities to make their own local decisions on these matters and permissions; and
That we ask the Government of Ontario to ensure that no additional permissions on the use of cannabis would be granted in such a manner as to contravene the Smoke-Free Ontario Act of 2017 or any Halton Region by-laws that exist at the time of their decision; and 
That we ask the Government of Ontario to formulate responsible consumption regulations and guidelines to reduce risk of impairment and risk of adverse health impacts.",Yes,CARRIED
35,Special Meeting of Council,3/9/2020,Rory Nisan,"Amend the main motion by adding the following paragraphs:
Whereas we do not yet have an understanding of whether any restrictions would be placed on the sale and consumption of additional regulated substances, such as alcohol, at the same locations as cannabis products; and
Whereas we do not yet have enough information on the impacts of consuming cannabis products in public places and whether additional safety protocols must be in place such as setting limits to avoid over consumption at those establishments;
Replace the first paragraph in the resolved section with the paragraph below:
The Council of the City of Burlington is not yet open to the sale and consumption of edible cannabis products in additional locations such as cafes and lounges until we have a better understanding of the impact of consumption in public places nor the impact of their consumption in combination with other regulated substances such as alcohol.",Yes,CARRIED
36,Special Meeting of Council,3/9/2020,Rory Nisan,"Amend the main motion by adding the following paragraph to the end of the motion:
That we ask the Government of Ontario to formulate responsible consumption regulations and guidelines to reduce risk of impairment and risk of adverse health impacts.",No,CARRIED
37,Special Meeting of Council,3/9/2020,Rory Nisan,Suspend the rules of procedure to allow members an additional five minutes to speak in accordance with procedure by-law 04-2020 s. 40.12.,No,LOST
